,Title,Correlation,Code,Genre,Nation,Director,Actor
0,이스케이프 룸 2: 노 웨이 아웃,0.46,191548,"['액션', '공포', '스릴러']",['미국'],['애덤 로비텔'],"['테일러 러셀', '로건 밀러']"
1,미드나이트,0.39,189120,['스릴러'],['한국'],['권오승'],"['진기주', '위하준', '박훈']"
2,명탐정 코난: 비색의 탄환,0.38,203097,['애니메이션'],['일본'],['나가오카 치카'],['12세 관람가']
3,꽃다발 같은 사랑을 했다,0.35,200896,['멜로/로맨스'],['일본'],['도이 노부히로'],"['아리무라 카스미', '스다 마사키', '키요하라 카야']"
4,라야와 마지막 드래곤,0.32,184518,"['애니메이션', '액션', '모험']",['미국'],"['돈 홀', '까를로스 로페즈 에스트라다']","['켈리 마리 트란', '아콰피나', '산드라 오']"
5,보스 베이비 2,0.31,191597,"['애니메이션', '코미디', '모험']",['미국'],['톰 맥그라스'],"['알렉 볼드윈', '에이미 세다리스']"
6,루카,0.29,202903,"['애니메이션', '모험', '코미디']",['미국'],['엔리코 카사로사'],"['제이콥 트렘블레이', '잭 딜런 그레이저', '엠마 버만']"
7,오필리아,0.29,168074,"['드라마', '멜로/로맨스']",['미국'],['클레어 맥카시'],"['데이지 리들리', '조지 맥케이', '나오미 왓츠']"
8,컨저링 3: 악마가 시켰다,0.28,190726,"['공포', '미스터리', '스릴러']",['미국'],['마이클 차베즈'],"['베라 파미가', '패트릭 윌슨', '줄리안 힐리아드']"
9,랑종,0.27,204496,"['공포', '스릴러', '드라마']","['한국', '태국']",['반종 피산다나쿤'],"['나릴야 군몽콘켓', '싸와니 우툼마', '씨라니 얀키띠칸']"
